,pdb_name,processed_path,num_chains,quaternary_category,seq_len,modeled_seq_len
0,1crm.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1crm.a.pkl,1,homomer,256,256
1,1ef8.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ef8.a.pkl,1,homomer,256,256
2,1b35.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1b35.b.pkl,1,homomer,255,255
3,1fvp.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fvp.a.pkl,1,homomer,231,231
4,1e91.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1e91.a.pkl,1,homomer,85,85
5,1grx.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1grx.a.pkl,1,homomer,85,85
6,1aqa.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1aqa.a.pkl,1,homomer,84,84
7,1f53.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1f53.a.pkl,1,homomer,84,84
8,1cc5.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cc5.a.pkl,1,homomer,83,83
9,1es7.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1es7.b.pkl,1,homomer,83,83
10,1i71.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1i71.a.pkl,1,homomer,83,83
11,1bxi.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bxi.a.pkl,1,homomer,83,83
12,1dqb.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dqb.a.pkl,1,homomer,83,83
13,1aab.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1aab.a.pkl,1,homomer,83,83
14,1dqn.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dqn.a.pkl,1,homomer,230,230
15,1a1w.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1a1w.a.pkl,1,homomer,83,83
16,1d1r.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1d1r.a.pkl,1,homomer,83,83
17,1ezg.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ezg.a.pkl,1,homomer,82,82
18,1emn.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1emn.a.pkl,1,homomer,82,82
19,1emo.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1emo.a.pkl,1,homomer,82,82
20,1cch.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cch.a.pkl,1,homomer,82,82
21,1cf7.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cf7.b.pkl,1,homomer,82,82
22,1a7g.e,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1a7g.e.pkl,1,homomer,82,82
23,1d8b.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1d8b.a.pkl,1,homomer,81,81
24,1cxy.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1cxy.a.pkl,1,homomer,81,81
25,1at9.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1at9.a.pkl,1,homomer,230,230
26,1fm0.d,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1fm0.d.pkl,1,homomer,81,81
27,1ghh.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ghh.a.pkl,1,homomer,81,81
28,1gtd.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gtd.a.pkl,1,homomer,81,81
29,1d3b.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1d3b.b.pkl,1,homomer,81,81
30,1dcj.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dcj.a.pkl,1,homomer,81,81
31,1gjx.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1gjx.a.pkl,1,homomer,81,81
32,1d8j.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1d8j.a.pkl,1,homomer,81,81
33,1b4r.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1b4r.a.pkl,1,homomer,80,80
34,1blu.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1blu.a.pkl,1,homomer,80,80
35,1bdo.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bdo.a.pkl,1,homomer,80,80
36,1bkj.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1bkj.a.pkl,1,homomer,230,230
37,1dv5.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1dv5.a.pkl,1,homomer,80,80
38,1id3.b,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1id3.b.pkl,1,homomer,79,79
39,1ghj.a,/home/yu/HENU/westlake/Lit-ProteinDF/preprocess/pkl/jsonl/1ghj.a.pkl,1,homomer,79,79
